topic,question,answer,explanation
Animals,What are animals?,Multicellular heterotrophs.,Animals obtain food by ingesting other organisms.
Animals,Are animals multicellular or unicellular?,Multicellular.,All animals are made of many cells.
Animals,Are animals autotrophs or heterotrophs?,Heterotrophs.,They cannot produce their own food.
Animals,How do animals obtain nutrients?,By ingesting other organisms.,Animals digest food internally.
Animals,Where does digestion occur in animals?,Internally.,Food is broken down inside the body.
Development,What is cleavage?,Rapid cell division after fertilization.,Cell number increases without embryo growth.
Development,What stage forms after cleavage?,Blastula.,The blastula is the next embryonic stage.
Development,What is a blastula?,A hollow ball of cells.,It forms early in embryonic development.
Development,What is gastrulation?,Formation of germ layers.,The embryo reorganizes into tissue layers.
Development,What forms during gastrulation?,Germ layers.,These layers produce all tissues and organs.
Development,Put these stages in order.,Cleavage → Blastula → Gastrulation.,This is the sequence of early development.
Hox Genes,What are Hox genes?,Genes that control body plan development.,They regulate the body's layout.
Hox Genes,What do Hox genes control?,Morphology/body plan.,They influence where body structures form.
Evolution,What are choanoflagellates?,The closest living relatives of animals.,They provide clues about animal origins.
Evolution,Why are choanoflagellates important?,They help explain animal evolution.,They resemble sponge choanocytes.
Evolution,What was the Cambrian Explosion?,Rapid diversification of animals.,Many animal groups appeared in a short time.
Evolution,Name one possible cause of the Cambrian Explosion.,Increased atmospheric oxygen.,More oxygen supported larger and more active animals.
Evolution,Name another possible cause of the Cambrian Explosion.,Predator-prey relationships.,Competition drove diversification.
Symmetry,What is radial symmetry?,Body parts arranged around a central point.,Common in sessile or drifting animals.
Symmetry,Give one example of an animal with radial symmetry.,Jellyfish.,Cnidarians have radial symmetry.
Symmetry,What is bilateral symmetry?,Left and right sides are mirror images.,Common in actively moving animals.
Symmetry,Which symmetry is associated with active movement?,Bilateral symmetry.,It supports directional movement.
Body Orientation,What does dorsal mean?,Back.,Dorsal refers to the upper or back side.
Body Orientation,What does ventral mean?,Belly.,Ventral refers to the underside.
Germ Layers,What does diploblastic mean?,Two germ layers.,Diploblastic animals have ectoderm and endoderm.
Germ Layers,What does triploblastic mean?,Three germ layers.,Triploblastic animals also have mesoderm.
Germ Layers,What is the outer germ layer?,Ectoderm.,It forms the outer covering.
Germ Layers,What is the middle germ layer?,Mesoderm.,It gives rise to most organs.
Germ Layers,What is the inner germ layer?,Endoderm.,It forms the lining of the digestive tract.
Germ Layers,Put the germ layers in order from outside to inside.,Ectoderm → Mesoderm → Endoderm.,Remember the order from outermost to innermost.
