topic,question,answer,explanation
Amniotes,Which animals are amniotes?,"Reptiles, birds, and mammals.",They have amniotic eggs.
Amniotes,What is an amniotic egg?,An egg with an amnion.,It protects the embryo.
Amniotes,What does the amnion do?,Protects the embryo.,It surrounds the embryo.
Amniotes,What is the shell's advantage?,Reduces water loss.,It allows life on land.
Amniotes,Why are amniotes less dependent on water?,Efficient lungs and less permeable skin.,These reduce water loss.
Reptiles,What covers reptile skin?,Keratin scales.,They reduce water loss.
Reptiles,How do reptiles reproduce?,Internal fertilization and eggs.,Typical reptile reproduction.
Reptiles,Are reptiles ectothermic or endothermic?,Ectothermic.,They rely on outside heat.
Reptiles,How do reptiles regulate temperature?,Behavior.,They move between sun and shade.
Reptiles,What did snakes evolve from?,Limbed lizards.,Listed in the review.
Birds,Are birds ectothermic or endothermic?,Endothermic.,They produce body heat.
Birds,Why do birds need more food?,High metabolism.,Endothermy requires energy.
Birds,Name one weight-saving adaptation.,Air-filled bones.,They help with flight.
Birds,What body opening do birds have?,Cloaca.,Shared with several vertebrates.
Birds,What protein makes feathers?,Keratin.,Feathers are keratin structures.
Review,What membrane surrounds the embryo?,Amnion.,It protects the embryo.
Review,Which vertebrates have amniotic eggs?,Amniotes.,"Includes reptiles, birds, mammals."
Review,Why are reptile scales important?,Prevent water loss.,Made of keratin.
Review,What type of metabolism do birds have?,Endothermic.,They maintain body temperature.
Review,Why are bird bones light?,Air-filled.,An adaptation for flight.
Review,What body covering do reptiles have?,Keratin scales.,A key reptile feature.
Review,What body covering do birds have?,Feathers.,Made of keratin.
Review,How do ectotherms warm up?,Environmental heat.,Behavior controls temperature.
Review,How do endotherms stay warm?,Produce body heat.,High metabolism.
Review,What is the benefit of an amniotic egg?,Development on land.,Less dependence on water.
Review,What reduces water loss in eggs?,Shell.,Protects the embryo.
Review,What are snakes descended from?,Limbed lizards.,Evolutionary relationship.
Review,Bird feathers are made of what?,Keratin.,Same protein as scales.
Review,What adaptation helps birds fly?,Air-filled bones.,Reduces weight.
Review,Birds belong to which amniote group?,Reptiles.,Birds are modified reptiles in classification.
