topic,question,answer,explanation
Osteichthyans,What are osteichthyans?,Bony fishes and tetrapods.,They have a bony endoskeleton.
Osteichthyans,What type of skeleton do osteichthyans have?,Bony endoskeleton.,Osteo means bone.
Ray-finned Fish,What structures are associated with ray-finned fish?,Operculum and swim bladder.,Both are key adaptations.
Ray-finned Fish,What is the operculum?,A flap covering the gills.,It protects the gills.
Ray-finned Fish,What is the function of the swim bladder?,Controls buoyancy.,It helps fish stay at the right depth.
Lobe-finned Fish,What is special about lobe-finned fishes?,Strong muscular fins.,These fins led toward tetrapods.
Lobe-finned Fish,How do lobe-finned fishes breathe?,With gills and by gulping air.,They can use both methods.
Lobe-finned Fish,Why are lobe-finned fishes important?,Ancestors of tetrapods.,Their fins resemble early limbs.
Tetrapods,What is a tetrapod?,A vertebrate with four limbs and digits.,Tetra means four.
Tetrapods,What two major features characterize tetrapods?,Four limbs with digits and a movable head.,These adaptations helped life on land.
Tiktaalik,What is Tiktaalik?,A transitional fossil.,It links fishes and tetrapods.
Amphibians,Name two amphibians.,Frogs and salamanders.,Common amphibian examples.
Amphibians,Where do amphibians live?,In water and on land.,Many have aquatic larvae.
Amphibians,What do tadpoles breathe with?,Gills.,Tadpoles are aquatic.
Amphibians,What do adult frogs develop?,Lungs.,Adults breathe air.
Amphibians,What is metamorphosis?,A major body transformation.,Frogs change from tadpole to adult.
Amphibians,How else can amphibians exchange gases?,Through moist skin.,Their skin also functions in respiration.
Amphibians,Why are amphibians sensitive to pollution?,Their moist skin absorbs substances.,Skin is important for gas exchange.
Review,What do tadpoles become?,Adult frogs.,Metamorphosis changes the body plan.
Review,Which fossil links fish and tetrapods?,Tiktaalik.,It has traits of both groups.
Review,Which fish group gave rise to tetrapods?,Lobe-finned fishes.,Strong fins became limbs.
Review,What helps fish maintain depth?,Swim bladder.,It regulates buoyancy.
Review,What covers fish gills?,Operculum.,It protects the gills.
Review,What supports bony fish?,A bony skeleton.,Unlike cartilage in sharks.
Review,What do tetrapods have?,Four limbs with digits.,A defining feature.
Review,Which amphibian stage has gills?,Tadpole.,Adults use lungs.
Review,What do adult amphibians use besides lungs?,Moist skin.,Skin aids respiration.
Review,What type of fossil is Tiktaalik?,Transitional fossil.,It shows evolution to land.
Review,What process changes tadpoles into frogs?,Metamorphosis.,A major developmental change.
Review,Which vertebrates first adapted to land?,Tetrapods.,They evolved from lobe-finned fish.
