topic,question,answer,explanation
Mammals,Main mammal characteristics?,"Mammary glands, hair, fat, endothermy.",These distinguish mammals.
Mammals,What do mammary glands produce?,Milk.,Milk feeds the young.
Mammals,Why do mammals have hair?,Insulation.,Hair retains heat.
Mammals,Why do mammals have fat?,Insulation.,Fat reduces heat loss.
Monotremes,Name two monotremes.,Platypus and echidna.,They lay eggs.
Monotremes,What makes monotremes unique?,They lay eggs.,Egg-laying mammals.
Marsupials,Name two marsupials.,Kangaroos and possums.,Young finish development in a pouch.
Marsupials,Where do marsupial young develop?,Marsupium pouch.,Born very immature.
Eutherians,What are eutherians?,Placental mammals.,Most mammals belong here.
Eutherians,How do eutherians differ?,Longer pregnancy.,Young are more developed.
Primates,What adaptation do primates have?,Grasping hands and feet.,Useful for climbing.
Primates,Who has opposable thumbs?,Monkeys and apes.,They improve grip.
Primates,Common primate behavior?,Complex social behavior.,Also strong parental care.
Apes,Name four apes.,"Orangutans, gorillas, chimpanzees, humans.",Major living apes.
Apes,How do apes differ?,Larger brain-to-body ratio.,Brains are relatively larger.
Human Evolution,How similar are humans and chimpanzees?,About 99%.,They share a recent ancestor.
Human Evolution,What is a hominin?,Human-lineage species.,Closer to humans than chimpanzees.
Human Evolution,Did humans evolve from modern chimpanzees?,No.,They share a common ancestor.
Human Evolution,Name two early hominins.,Ardipithecus and Australopithecus.,Early human relatives.
Human Evolution,What is bipedalism?,Walking on two legs.,A key human adaptation.
Human Evolution,Why did bipedalism evolve?,Energy efficiency.,Helpful in open habitats.
Human Evolution,Name three Homo species.,"H. habilis, H. ergaster, H. erectus.",Important Homo species.
Human Evolution,Who first left Africa?,Homo erectus.,Remember: Erectus exited.
Human Evolution,Did H. sapiens evolve from Neanderthals?,No.,Separate lineages.
Human Evolution,Did humans and Neanderthals interbreed?,Yes.,Likely exchanged genes.
Human Evolution,Oldest H. sapiens fossils?,"About 195,000 years.",Age from the review notes.
Review,Which mammals lay eggs?,Monotremes.,Platypus and echidna.
Review,Which mammals have pouches?,Marsupials.,Young develop after birth.
Review,Which mammals have placentas?,Eutherians.,Most mammals.
Review,What is the defining human adaptation?,Bipedalism.,Walking on two legs.
